"case","source","geol","fmed","noise","rep"
"analytical",NA,NA,2,3,38
"analytical",NA,NA,1,4,38
"analytical",NA,NA,2,4,38
"geol",11,2,NA,NA,39
"geol",25,2,NA,NA,39
"geol",11,162,NA,NA,39
"geol",25,162,NA,NA,39
"analytical",NA,NA,1,1,39
"analytical",NA,NA,2,1,39
"analytical",NA,NA,1,2,39
"analytical",NA,NA,2,2,39
"analytical",NA,NA,1,3,39
"analytical",NA,NA,2,3,39
"analytical",NA,NA,1,4,39
"analytical",NA,NA,2,4,39
"geol",11,2,NA,NA,40
"geol",25,2,NA,NA,40
"geol",11,162,NA,NA,40
"geol",25,162,NA,NA,40
"analytical",NA,NA,1,1,40
"analytical",NA,NA,2,1,40
"analytical",NA,NA,1,2,40
"analytical",NA,NA,2,2,40
"analytical",NA,NA,1,3,40
"analytical",NA,NA,2,3,40
"analytical",NA,NA,1,4,40
"analytical",NA,NA,2,4,40
"geol",11,2,NA,NA,41
"geol",25,2,NA,NA,41
"geol",11,162,NA,NA,41
"geol",25,162,NA,NA,41
"analytical",NA,NA,1,1,41
"analytical",NA,NA,2,1,41
"analytical",NA,NA,1,2,41
"analytical",NA,NA,2,2,41
"analytical",NA,NA,1,3,41
"analytical",NA,NA,2,3,41
"analytical",NA,NA,1,4,41
"analytical",NA,NA,2,4,41
"geol",11,2,NA,NA,42
"geol",25,2,NA,NA,42
"geol",11,162,NA,NA,42
"geol",25,162,NA,NA,42
"analytical",NA,NA,1,1,42
"analytical",NA,NA,2,1,42
"analytical",NA,NA,1,2,42
"analytical",NA,NA,2,2,42
"analytical",NA,NA,1,3,42
"analytical",NA,NA,2,3,42
"analytical",NA,NA,1,4,42
"analytical",NA,NA,2,4,42
"geol",11,2,NA,NA,43
"geol",25,2,NA,NA,43
"geol",11,162,NA,NA,43
"geol",25,162,NA,NA,43
"analytical",NA,NA,1,1,43
"analytical",NA,NA,2,1,43
"analytical",NA,NA,1,2,43
"analytical",NA,NA,2,2,43
"analytical",NA,NA,1,3,43
"analytical",NA,NA,2,3,43
"analytical",NA,NA,1,4,43
"analytical",NA,NA,2,4,43
"geol",11,2,NA,NA,44
"geol",25,2,NA,NA,44
"geol",11,162,NA,NA,44
